词条,类型,中文,例句,中文意思
Analytic Hierarchy Process,phrase,层次分析法,The Analytic Hierarchy Process (AHP) was subsequently employed to determine indicator weights and establish a hierarchical evaluation framework through pairwise comparisons.,随后采用层次分析法（AHP）确定指标权重，并通过两两比较建立层次评价框架。
SciBERT model,phrase,SciBERT模型,"Prior to indicator extraction, comprehensive performance validation is conducted to establish the reliability and accuracy of the SciBERT model for age-friendly community text analysis .",在指标提取之前，进行全面的性能验证，以确定 SciBERT 模型用于老年友好型社区文本分析的可靠性和准确性。
address the urgent need,collocation,回应迫切需求,This study addresses the urgent need for evidence-based evaluation systems to guide age-friendly community development in urban areas.,本研究解决了对基于证据的评估系统的迫切需求，以指导城市地区的老年友好社区发展。
guide age-friendly community development,collocation,指导老年友好社区建设,This study addresses the urgent need for evidence-based evaluation systems to guide age-friendly community development in urban areas.,本研究解决了对基于证据的评估系统的迫切需求，以指导城市地区的老年友好社区发展。
refine and validate the extracted indicators,collocation,优化并验证提取出的指标,"The Fuzzy Delphi Method, involving 15 domain experts from academia, policymaking, and community management sectors, was applied to refine and validate the extracted indicators through structured consensus-building processes.",模糊德尔菲法由来自学术界、政策制定和社区管理部门的 15 名领域专家参与，通过结构化共识建立流程来完善和验证提取的指标。
determine indicator weights,collocation,确定指标权重,The Analytic Hierarchy Process (AHP) was subsequently employed to determine indicator weights and establish a hierarchical evaluation framework through pairwise comparisons.,随后采用层次分析法（AHP）确定指标权重，并通过两两比较建立层次评价框架。
establish a hierarchical evaluation framework,collocation,建立层次化评估框架,The Analytic Hierarchy Process (AHP) was subsequently employed to determine indicator weights and establish a hierarchical evaluation framework through pairwise comparisons.,随后采用层次分析法（AHP）确定指标权重，并通过两两比较建立层次评价框架。
capture the authentic lived experiences,collocation,捕捉真实生活体验,"The emphasis on established communities, rather than newly constructed or areas under development, enables the research to capture the authentic lived experiences of elderly residents.",重点关注已建成的社区，而不是新建或正在开发的地区，使研究能够捕捉老年居民的真实生活经历。
balance methodological rigor with practical applicability,collocation,平衡方法严谨性与实践适用性,"The integration of these geographic and temporal boundaries creates a well-defined research framework that balances methodological rigor with practical applicability, ensuring that findings remain both scientifically rigorous and practically relevant.",这些地理和时间界限的整合创建了一个明确的研究框架，平衡了方法的严谨性和实际适用性，确保研究结果既具有科学严谨性又具有实际相关性。
bridge these identified gaps,collocation,弥补这些已识别的空白,"To bridge these identified gaps and contribute to the advancement of age-friendly community assessment, this research develops an innovative mixed-method approach that combines cutting-edge artificial intelligence techniques with established expert consultation methodologies.",为了弥补这些已发现的差距并促进老年友好型社区评估的进步，本研究开发了一种创新的混合方法，将尖端的人工智能技术与既定的专家咨询方法相结合。
demonstrate the framework's discriminatory power,collocation,展现框架的区分能力,The case study validation through three representative communities in Henan Province demonstrates the framework's discriminatory power and practical applicability.,通过河南省三个代表性社区的案例研究验证证明了该框架的歧视性和实际适用性。
provide valuable insights,collocation,提供有价值的见解,Longitudinal studies tracking changes in community age-friendliness over time would provide valuable insights into the effectiveness of different interventions and the stability of indicator weights.,跟踪社区年龄友好性随时间变化的纵向研究将为了解不同干预措施的有效性和指标权重的稳定性提供有价值的见解。
achieving overall accuracy,collocation,达到总体准确率,"The findings reveal that the SciBERT analysis successfully identified 55 initial indicators from the literature corpus, achieving 84.8% overall accuracy in factor extraction.",结果表明，SciBERT 分析成功从文献语料库中识别出 55 个初始指标，因子提取的总体准确率达到 84.8%。
integrating advanced computational techniques,collocation,融合先进计算技术,"A sequential mixed-method approach was employed, integrating advanced computational techniques with traditional expert consultation methods.",采用顺序混合方法，将先进的计算技术与传统的专家咨询方法相结合。
combines quantitative and qualitative analyses,collocation,结合定量与定性分析,"The study employs a mixed-method approach, integrating both quantitative and qualitative analyses, structured around three core analytical stages that directly correspond to the research objectives.",该研究采用混合方法，整合定量和定性分析，围绕与研究目标直接对应的三个核心分析阶段进行构建。
identify key factors,collocation,识别关键因素,Summary of Main Findings Response to the First Research Objective The first objective sought to identify key factors influencing the quality of elderly community spaces.,主要调查结果摘要 对第一个研究目标的回应 第一个目标旨在确定影响老年社区空间质量的关键因素。
rank the most important determinants,collocation,对最重要的决定因素进行排序,"The research objectives are to: (1) identify key factors influencing the quality of elderly community spaces, (2) determine and rank the most important determinants of age-friendly community living, and (3) develop and validate a comprehensive assessment system for age-friendly communities in Henan Province.",研究目标是：（1）确定影响老年社区空间质量的关键因素，（2）确定老年友好社区生活最重要的决定因素并对其进行排名，（3）开发并验证河南省老年友好社区的综合评估体系。
develop and validate a comprehensive assessment system,collocation,构建并验证综合评估体系,How to develop and validate a comprehensive assessment system for age-friendly communities in Henan?,如何开发和验证河南老年友好社区综合评估体系？
systematically analyze text samples,collocation,系统分析文本样本,"The SciBERT natural language processing algorithm was used to systematically analyze 410 text samples, including 345 Scopus-indexed papers published within the past five years, 31 official survey reports from the elderly care industry, and 34 official community age-friendliness assessment standards, to extract preliminary indicators related to age-friendly community development.",利用SciBERT自然语言处理算法对410个文本样本进行系统分析，其中包括近五年内发表的345篇Scopus索引论文、31份养老行业官方调查报告以及34个官方社区老年友好度评估标准，提取出老年友好社区发展相关的初步指标。
compare performance levels,collocation,比较表现水平,"The community case study validation confirmed the framework's discriminatory power, successfully distinguishing performance levels across the three communities with weighted scores of 0.845, 0.736, and 0.579.",社区案例研究验证证实了该框架的区分能力，成功区分了三个社区的绩效水平，加权分数分别为 0.845、0.736 和 0.579。
maintaining cultural sensitivity,collocation,保持文化敏感性,"The hybrid SciBERT–Fuzzy Delphi methodology represents a significant methodological innovation, addressing limitations of purely manual approaches while maintaining cultural sensitivity.",SciBERT-Fuzzy Delphi 混合方法代表了重大的方法创新，解决了纯手动方法的局限性，同时保持了文化敏感性。
test system effectiveness,collocation,检验系统有效性,The validation process employs multi-method assessment protocols to test system effectiveness across different development paradigms and community contexts.,验证过程采用多种方法评估协议来测试不同开发范例和社区环境下的系统有效性。
prioritize intervention areas,collocation,确定干预优先领域,The findings provide clear priority rankings that help communities prioritize intervention areas and allocate resources more effectively.,研究结果提供了明确的优先顺序，可以帮助社区确定干预领域的优先顺序并更有效地分配资源。
